repo,prefix,status,rust_signal,description,top_level
device/generic/armv7-a,device,ok,,,"[{""type"": ""dir"", ""name"": ""overlay""}, {""type"": ""file"", ""name"": ""AndroidProducts.mk""}, {""type"": ""file"", ""name"": ""BoardConfig.mk""}, {""type"": ""file"", ""name"": ""mini_armv7a.mk""}, {""type"": ""file"", ""name"": ""vendorsetup.sh""}]"
device/generic/armv7-a-neon,device,ok,,,"[{""type"": ""dir"", ""name"": ""overlay""}, {""type"": ""file"", ""name"": ""AndroidProducts.mk""}, {""type"": ""file"", ""name"": ""BoardConfig.mk""}, {""type"": ""file"", ""name"": ""METADATA""}, {""type"": ""file"", ""name"": ""mini_armv7a_neon.mk""}, {""type"": ""file"", ""name"": ""mini_common.mk""}]"
device/generic/art,device,ok,,,"[{""type"": ""dir"", ""name"": ""arm_krait""}, {""type"": ""dir"", ""name"": ""arm_v7_v8""}, {""type"": ""dir"", ""name"": ""armv8""}, {""type"": ""dir"", ""name"": ""armv8_cortex_a55""}, {""type"": ""dir"", ""name"": ""armv8_kryo385""}, {""type"": ""dir"", ""name"": ""riscv64""}, {""type"": ""dir"", ""name"": ""silvermont""}, {""type"": ""file"", ""name"": ""BoardConfigCommon.mk""}, {""type"": ""file"", ""name"": ""METADATA""}, {""type"": ""file"", ""name"": ""OWNERS""}]"
device/generic/brillo,device,ok,,,"[{""type"": ""dir"", ""name"": ""brillo_uefi_x86_64""}, {""type"": ""dir"", ""name"": ""brilloemulator""}, {""type"": ""dir"", ""name"": ""brilloemulator_arm""}, {""type"": ""dir"", ""name"": ""brilloemulator_arm64""}, {""type"": ""dir"", ""name"": ""brilloemulator_x86""}, {""type"": ""dir"", ""name"": ""brilloemulator_x86_64""}, {""type"": ""dir"", ""name"": ""build""}, {""type"": ""dir"", ""name"": ""docs""}, {""type"": ""dir"", ""name"": ""fs_config""}, {""type"": ""dir"", ""name"": ""kconfig""}, {""type"": ""dir"", ""name"": ""pts""}, {""type"": ""dir"", ""name"": ""sensor""}, {""type"": ""dir"", ""name"": ""sepolicy""}, {""type"": ""dir"", ""name"": ""wifi_driver_hal""}, {""type"": ""file"", ""name"": ""brillo.rc""}, {""type"": ""file"", ""name"": ""brillo_base.mk""}, {""type"": ""file"", ""name"": ""brillo_partitions.bpt""}, {""type"": ""file"", ""name"": ""cfgtree.mk""}, {""type"": ""file"", ""name"": ""check_brillo_kernel_patch.sh""}, {""type"": ""file"", ""name"": ""dbus.conf""}, {""type"": ""file"", ""name"": ""dhcpcd-6.8.2.conf""}, {""type"": ""file"", ""name"": ""init.firewall-adbd-setup.sh""}, {""type"": ""file"", ""name"": ""init.firewall-setup.sh""}, {""type"": ""file"", ""name"": ""init.template.rc.in""}, {""type"": ""file"", ""name"": ""init.wifi-setup.sh""}, {""type"": ""file"", ""name"": ""kernel.mk""}, {""type"": ""file"", ""name"": ""mergeconfig.sh""}, {""type"": ""file"", ""name"": ""net_packages_config.mk""}, {""type"": ""file"", ""name"": ""newproduct.sh""}, {""type"": ""file"", ""name"": ""sensorservice.rc""}, {""type"": ""file"", ""name"": ""tests.txt""}, {""type"": ""file"", ""name"": ""vendorsetup.sh""}, {""type"": ""file"", ""name"": ""wpa_supplicant.conf""}]"
device/generic/car,device,ok,androidbp,,"[{""type"": ""dir"", ""name"": ""car_x86_64""}, {""type"": ""dir"", ""name"": ""common""}, {""type"": ""dir"", ""name"": ""emulator""}, {""type"": ""dir"", ""name"": ""emulator_car64_arm64""}, {""type"": ""dir"", ""name"": ""emulator_car64_x86_64""}, {""type"": ""dir"", ""name"": ""hals""}, {""type"": ""dir"", ""name"": ""setup""}, {""type"": ""dir"", ""name"": ""tools""}, {""type"": ""file"", ""name"": ""Android.bp""}, {""type"": ""file"", ""name"": ""AndroidProducts.mk""}, {""type"": ""file"", ""name"": ""gsi_car_arm64.mk""}, {""type"": ""file"", ""name"": ""gsi_car_base.mk""}, {""type"": ""file"", ""name"": ""gsi_car_x86_64.mk""}, {""type"": ""file"", ""name"": ""LICENSE""}, {""type"": ""file"", ""name"": ""METADATA""}, {""type"": ""file"", ""name"": ""sdk_car_arm64.mk""}, {""type"": ""file"", ""name"": ""sdk_car_cw_x86_64.mk""}, {""type"": ""file"", ""name"": ""sdk_car_md_arm64.mk""}, {""type"": ""file"", ""name"": ""sdk_car_md_x86_64.mk""}, {""type"": ""file"", ""name"": ""sdk_car_x86_64.mk""}]"
device/generic/common,device,ok,androidbp,"GSI This document introduces special GSI settings for facilitating xTS-on-GSI with a single image. Support system_dlkm partition [BoardConfigGsiCommon.mk] BOARD_USES_SYSTEM_DLKMIMAGE := true BOARD_SYSTEM_DLKMIMAGE_FILE_SYSTEM_TYPE := ext4 TARGET_COPY_OUT_SYSTEM_DLKM := system_dlkm [gsi_release.mk] PRODUCT_BUILD_SYSTEM_DLKM_IMAGE := false Starting from Android 13, all devices must include a system_dlkm partition . GSI enables system_dlkm to support the devices with system_dlkm partition, and be compatible with old devices without a system_dlkm partition. With these configurations, /system/system_dlkm would not be created. Instead, a /system/lib/modules -> /system_dlkm/lib/modules symlink is created. For device without system_dlkm partition, the symlink would be dangling. The dangling symlink shouldn‘t be followed anyway because the device doesn’t use system_dlkm. For device with system_dlkm, they can load modules via that path normally like when they are using their original system imag","[{""type"": ""dir"", ""name"": ""bluetooth""}, {""type"": ""dir"", ""name"": ""dummy_arm""}, {""type"": ""dir"", ""name"": ""dummy_arm64""}, {""type"": ""dir"", ""name"": ""dummy_x86""}, {""type"": ""dir"", ""name"": ""dummy_x86_64""}, {""type"": ""dir"", ""name"": ""mgsi""}, {""type"": ""dir"", ""name"": ""overlays""}, {""type"": ""file"", ""name"": ""Android.bp""}, {""type"": ""file"", ""name"": ""AndroidProducts.mk""}, {""type"": ""file"", ""name"": ""gsi_arm.mk""}, {""type"": ""file"", ""name"": ""gsi_arm64.mk""}, {""type"": ""file"", ""name"": ""gsi_product.mk""}, {""type"": ""file"", ""name"": ""gsi_system_ext.mk""}, {""type"": ""file"", ""name"": ""gsi_x86.mk""}, {""type"": ""file"", ""name"": ""gsi_x86_64.mk""}, {""type"": ""file"", ""name"": ""METADATA""}, {""type"": ""file"", ""name"": ""OWNERS""}, {""type"": ""file"", ""name"": ""README.md""}]"
device/generic/goldfish,device,ok,androidbp,,"[{""type"": ""dir"", ""name"": ""64bitonly""}, {""type"": ""dir"", ""name"": ""board""}, {""type"": ""dir"", ""name"": ""build""}, {""type"": ""dir"", ""name"": ""codecs""}, {""type"": ""dir"", ""name"": ""data""}, {""type"": ""dir"", ""name"": ""fvpbase""}, {""type"": ""dir"", ""name"": ""hals""}, {""type"": ""dir"", ""name"": ""input""}, {""type"": ""dir"", ""name"": ""libdebug""}, {""type"": ""dir"", ""name"": ""MultiDisplayProvider""}, {""type"": ""dir"", ""name"": ""overlay""}, {""type"": ""dir"", ""name"": ""pc""}, {""type"": ""dir"", ""name"": ""phone""}, {""type"": ""dir"", ""name"": ""pixel_fold""}, {""type"": ""dir"", ""name"": ""pixel_fold2""}, {""type"": ""dir"", ""name"": ""product""}, {""type"": ""dir"", ""name"": ""provision""}, {""type"": ""dir"", ""name"": ""qemu-props""}, {""type"": ""dir"", ""name"": ""qemud""}, {""type"": ""dir"", ""name"": ""rro_overlays""}, {""type"": ""dir"", ""name"": ""sepolicy""}, {""type"": ""dir"", ""name"": ""slim""}, {""type"": ""dir"", ""name"": ""tablet""}, {""type"": ""dir"", ""name"": ""tasks""}, {""type"": ""dir"", ""name"": ""tools""}, {""type"": ""dir"", ""name"": ""wifi""}, {""type"": ""file"", ""name"": ""Android.bp""}, {""type"": ""file"", ""name"": ""AndroidProducts.mk""}, {""type"": ""file"", ""name"": ""display_settings.xml""}, {""type"": ""file"", ""name"": ""display_settings_app_compat.xml""}, {""type"": ""file"", ""name"": ""display_settings_freeform.xml""}, {""type"": ""file"", ""name"": ""emulator-info.txt""}, {""type"": ""file"", ""name"": ""init.ranchu-core.sh""}, {""type"": ""file"", ""name"": ""init.ranchu-net.sh""}, {""type"": ""file"", ""name"": ""init.ranchu.adb.setup.sh""}, {""type"": ""file"", ""name"": ""init.ranchu.rc""}, {""type"": ""file"", ""name"": ""init.system_ext.rc""}, {""type"": ""file"", ""name"": ""init_ranchu_device_state.sh""}, {""type"": ""file"", ""name"": ""manifest.xml""}, {""type"": ""file"", ""name"": ""METADATA""}, {""type"": ""file"", ""name"": ""OWNERS""}, {""type"": ""file"", ""name"": ""ueventd.ranchu.rc""}]"
device/generic/goldfish-opengl,device,ok,androidbp,,"[{""type"": ""dir"", ""name"": "".vscode""}, {""type"": ""dir"", ""name"": ""system""}, {""type"": ""file"", ""name"": "".clang-format""}, {""type"": ""file"", ""name"": "".gitignore""}, {""type"": ""file"", ""name"": ""Android.bp""}, {""type"": ""file"", ""name"": ""BUILD.gn""}, {""type"": ""file"", ""name"": ""cmake_transform.py""}, {""type"": ""file"", ""name"": ""GNUmakefile""}, {""type"": ""file"", ""name"": ""json-dump.mk""}, {""type"": ""file"", ""name"": ""LICENSE""}, {""type"": ""file"", ""name"": ""METADATA""}, {""type"": ""file"", ""name"": ""OWNERS""}, {""type"": ""file"", ""name"": ""README""}, {""type"": ""file"", ""name"": ""rebuild.sh""}]"
device/generic/mini-emulator-arm64,device,ok,,,"[{""type"": ""file"", ""name"": ""METADATA""}]"
device/generic/mini-emulator-armv7-a-neon,device,ok,,,"[{""type"": ""file"", ""name"": ""METADATA""}]"
